,abbreviation,alt_color,alt_name1,alt_name2,alt_name3,color,conference,division,id,logos,mascot,school
413,MOU,,,MOU,Mount Ida ,#000000,,,481,"['http://a.espncdn.com/i/teamlogos/ncaa/500/481.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/481.png']",Mustangs,Mount Ida College
414,MTS,,,MTS,Mount St. Joseph,#000000,,,2419,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2419.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2419.png']",Lions,Mount St. Joseph
415,MTU,,,MTU,Mount Union,#000000,,,426,"['http://a.espncdn.com/i/teamlogos/ncaa/500/426.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/426.png']",Raiders,Mount Union
416,MUH,,,MUH,Muhlenberg,#000000,,,2422,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2422.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2422.png']",Mules,Muhlenberg
417,MURR,#000e00,,MURR,Murray State,#002148,,,93,"['http://a.espncdn.com/i/teamlogos/ncaa/500/93.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/93.png']",Racers,Murray State
418,MUS,,,MUS,Muskingum,#000000,,,332,"['http://a.espncdn.com/i/teamlogos/ncaa/500/332.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/332.png']",Muskies,Muskingum
419,NAVY,#b6a77c,,NAVY,Navy,#131630,American Athletic,West,2426,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2426.png']",Midshipmen,Navy
420,NCST,#231f20,North Carolina St.,NCST,NC State,#EF1216,ACC,Atlantic,152,"['http://a.espncdn.com/i/teamlogos/ncaa/500/152.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/152.png']",Wolfpack,NC State
421,UNCW,,,UNCW,UNC Welseyan,#000000,,,286,"['http://a.espncdn.com/i/teamlogos/ncaa/500/286.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/286.png']",Battling Bishops,NC Wesleyan
422,NEB,#f5f1e7,,NEB,Nebraska,#F20017,Big Ten,West,158,"['http://a.espncdn.com/i/teamlogos/ncaa/500/158.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/158.png']",Cornhuskers,Nebraska
